10/11/2013 2:30:10 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 2:30:10 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 2:36:00 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 2:36:01 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 2:44:26 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 2:44:26 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 2:45:28 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 2:45:28 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 2:54:14 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 2:54:14 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 2:55:03 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 2:55:03 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 2:55:29 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 2:55:29 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 2:56:48 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 2:56:48 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 2:58:46 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 2:58:46 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 2:59:37 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 2:59:37 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 3:04:46 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 3:04:46 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 3:09:54 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 3:09:55 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 3:10:57 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 3:10:57 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 3:11:20 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 3:11:20 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 3:18:47 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 3:18:47 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 3:28:01 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 3:28:01 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/11/2013 5:01:08 PM | (IMPORTANT) | Default | The IP address of this computer has changed!! Take note of the new IP (erase your bookmark and add): 192.168.1.169
10/11/2013 5:01:08 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/11/2013 5:03:42 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
